Movie Name,Year of release,Watchtime,Movie Rating,Votes,Gross collection,Director,Cast
Casino,1995,178,8.2,534532,42.44,Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']"
The Thing,1982,109,8.2,438395,13.78,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']"
Kill Bill: Vol. 1,2003,111,8.2,1140406,70.1,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']"
Batman Begins,2005,140,8.2,1502736,206.85,Christopher Nolan,"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']"
The Truman Show,1998,103,8.2,1116542,125.62,Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']"
A Beautiful Mind,2001,135,8.2,950110,170.74,Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']"
The Sixth Sense,1999,107,8.2,1010783,293.51,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']"
Finding Nemo,2003,100,8.2,1066033,380.84,"Directors:Andrew Stanton, Lee Unkrich","['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']"
Die Hard,1988,132,8.2,901072,83.01,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']"
Unforgiven,1992,130,8.2,420768,101.16,Clint Eastwood,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']"
Pan's Labyrinth,2006,118,8.2,680804,37.63,Guillermo del Toro,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López', 'Maribel Verdú']"
Chinatown,1974,130,8.2,334613,8.49,Roman Polanski,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']"
L.A. Confidential,1997,138,8.2,593031,64.62,Curtis Hanson,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger']"
V for Vendetta,2005,132,8.2,1140465,70.51,James McTeigue,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']"
Gone with the Wind,1939,238,8.2,322345,198.68,"Directors:Victor Fleming, George Cukor, Sam Wood","['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]"
